1876	1898
27785	27809
13919	13947
1574	1596
2505	2529
12111	12134
7627	7652
19549	19571
10667	10689
4295	4322
22798	22820
24079	24101
25280	25302
5564	5587
7306	7333
3772	3796
27142	27165
7036	7059
9478	9503
22263	22291
24697	24722
26839	26861
13006	13028
27447	27472
22517	22543
14546	14571
16119	16145
17967	17994
6467	6496
24979	25004
944	966
4055	4078
5258	5288
13320	13345
16749	16771
17382	17407
9205	9227
18897	18919
20173	20201
9785	9807
18254	18276
5868	5895
11864	11890
26521	26543
29487	29511
6719	6746
23123	23145
4940	4967
10077	10100
19845	19867
1869	1891
13308	13337
26198	26220
14208	14233
15172	15194
21962	21991
8250	8276
15482	15504
25903	25925
31	55
11000	11023
2182	2206
13603	13626
2506	2530
28678	28700
21358	21387
28986	29008
22799	22822
11556	11585
15828	15852
8889	8914
29289	29317
321	343
10363	10385
23444	23467
5231	5260
16417	16445
23790	23813
21659	21683
3145	3167
13600	13622
18597	18619
17066	17088
1243	1265
643	665
25602	25624
19205	19233
28082	28105
6169	6198
20787	20814
12711	12733
4045	4069
2827	2851
14866	14896
28395	28417
11307	11332
20473	20497
8596	8620
26836	26858
4297	4323
6168	6197
24392	24417
17675	17698
13008	13030
21076	21105
12418	12440
7944	7969
3461	3483
4637	4659
