17431	17453
20543	20573
18651	18673
1943	1965
12235	12257
29837	29867
6847	6874
11373	11395
13670	13700
29666	29694
11049	11075
18958	18980
28146	28173
24444	24468
5621	5645
8320	8342
1313	1338
1624	1652
27826	27855
20868	20891
2248	2270
6529	6551
6527	6549
705	727
4403	4425
12780	12803
13364	13386
22878	22904
14272	14300
27203	27228
15225	15247
8955	8984
2883	2905
6248	6273
21428	21456
25647	25674
18037	18063
7093	7118
10147	10172
25053	25077
23190	23213
26891	26914
15539	15561
21717	21744
27512	27534
15862	15887
27191	27216
4667	4690
12466	12491
19592	19617
2881	2903
22325	22347
24146	24170
13379	13401
3508	3532
21147	21170
24766	24790
7672	7695
11669	11694
23823	23848
28757	28780
5933	5958
16486	16511
10738	10764
7390	7416
29357	29379
22627	22651
7998	8020
23501	23523
13963	13985
11928	11950
25348	25370
19276	19298
8636	8662
9246	9272
1005	1029
28443	28465
13962	13985
4675	4697
25970	25995
4996	5018
16805	16834
19912	19940
26567	26591
14580	14602
16187	16210
2569	2593
3184	3211
5297	5322
3827	3854
18325	18349
4143	4165
13075	13097
14899	14927
9835	9859
22014	22039
26291	26316
10438	10460
17739	17762
13661	13690
5621	5644
17131	17153
386	411
23193	23215
9558	9586
4429	4451
20232	20256
2243	2265
29042	29064
